Enseigne;Adresse;Nombre Points de charge;Puissance délivrée;Type de prise;Condition d'accès;Accessibilité;Coordonnees;Commune;Nom du département;Nom de la région;Commentaires;Nom de la borne
SDE76;Rue du Prieuré;2;22.0;COMBO;payant;24/24 7/7 jours;49.676262,0.79002;Étoutteville;SEINE-MARITIME;NORMANDIE;;B2719
SDE76;Rue Douce;2;22.0;COMBO;payant;24/24 7/7 jours;49.84827,1.56877;Foucarmont;SEINE-MARITIME;NORMANDIE;;B2720
SDE76;Rue d'Estouteville;2;22.0;COMBO;payant;24/24 7/7 jours;49.741468,0.515949;Valmont;MOSELLE;GRAND EST;;B2721
SDEA10;Avenue des Lombards 10000 TROYES;2;18.0;COMBO;payant;24/24 7/7 jours;48.276579,4.069758;Troyes;AUBE;GRAND EST;;B2722
SDEA10;4 Rue du Moulin Jacotot 10130 CHESSY LES PRES;2;18.0;COMBO;payant;24/24 7/7 jours;48.026042,3.914111;Chessy-les-Prés;AUBE;GRAND EST;;B2723
SDEA10;13 Rue Grande Rue 10130 BERNON;2;18.0;COMBO;payant;24/24 7/7 jours;47.988229,3.99599;Bernon;AUBE;GRAND EST;;B2724
SDEA10;RD14 10170 DROUPT SAINT BASLE;2;18.0;COMBO;payant;24/24 7/7 jours;48.477265,3.935592;Droupt-Saint-Basle;AUBE;GRAND EST;;B2725
E Born;Aire de Bayanne 26300 ALIXAN;2;43.0;COMBO;payant;24/24 7/7 jours;44.999451,4.999367;Alixan;DROME;AUVERGNE-RHONE-ALPES;;B2726
Révéo;Rue De  Sports 66800 SAILLAGOUSE;2;22.0;COMBO;payant;24/24 7/7 jours;42.457663,2.037937;Saillagouse;PYRENEES-ORIENTALES;OCCITANIE;;B2727
SYDEV;Rue Georges Clémenceau 85390 BAZOGES-EN-PAREDS;2;18.0;COMBO;payant;24/24 7/7 jours;46.657139,-0.91576;Bazoges-en-Pareds;VENDEE;PAYS DE LA LOIRE;;B2728
SYDEV;Place Du Pont De L'Issoire 85260 MONTREVERD;2;18.0;COMBO;payant;24/24 7/7 jours;46.90633,-1.45214;Montréverd;VENDEE;PAYS DE LA LOIRE;;B2729
SYDEV;Route de Moricq 85750 ANGLES;3;43.0;COMBO;payant;24/24 7/7 jours;46.40573,-1.390747;Angles;VENDEE;PAYS DE LA LOIRE;;B2730
SYDEV;Rue Jules Verne - Parking de la Communauté de Communes 85250 SAINT FULGENT;2;18.0;COMBO;payant;24/24 7/7 jours;46.85125,-1.17026;Saint-Fulgent;VENDEE;PAYS DE LA LOIRE;;B2731
SYDEV;Rue Des Oiseaux 85000 MOUILLERON LE CAPTIF;2;18.0;COMBO;payant;24/24 7/7 jours;46.72031,-1.45963;Mouilleron-le-Captif;VENDEE;PAYS DE LA LOIRE;;B2732
SYDEV;Place De Lattre De Tassigny 85700 POUZAUGES;2;18.0;COMBO;payant;24/24 7/7 jours;46.781986,-0.83792;Pouzauges;VENDEE;PAYS DE LA LOIRE;;B2733
SYDEV;Maison De Quartier, Saint André D'Ornay 85000 LA ROCHE SUR YON;2;18.0;COMBO;payant;24/24 7/7 jours;46.66589,-1.45374;La Roche-sur-Yon;VENDEE;PAYS DE LA LOIRE;;B2734
SYDEV;Place Raoul Pelote 85230 BOUIN;2;18.0;COMBO;payant;24/24 7/7 jours;46.97329,-1.99678;Bouin;VENDEE;PAYS DE LA LOIRE;;B2735
SYDEV;Route De Nantes 85300 CHALLANS;3;50.0;COMBO;payant;24/24 7/7 jours;46.861111,-1.864479;Challans;VENDEE;PAYS DE LA LOIRE;;B2736
SYDEV;Cours Dupont 85100 LES SABLES D'OLONNE;2;18.0;COMBO;payant;24/24 7/7 jours;46.497181,-1.78187;Les Sables-d'Olonne;VENDEE;PAYS DE LA LOIRE;;B2737
SYDEV;Parking De La Brachetiere 85170 LE POIRE SUR VIE;2;18.0;COMBO;payant;24/24 7/7 jours;46.766079,-1.50551;Le Poiré-sur-Vie;VENDEE;PAYS DE LA LOIRE;;B2738
E Born;Office de Tourisme 05560 VARS;2;22.0;COMBO;payant;24/24 7/7 jours;44.594376,6.689987;Vars;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;;B2739
E Born;Gendarmerie 05500 ST BONNET EN CHAMPSAUR;2;22.0;COMBO;payant;24/24 7/7 jours;44.683441,6.075528;Saint-Bonnet-en-Champsaur;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;;B2740
E Born;Place du Groupe Scolaire 05260 ANCELLE;2;22.0;COMBO;payant;24/24 7/7 jours;44.62348,6.204541;Ancelle;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;;B2741
E Born;Place de la Gare 05120 L ARGENTIERE LA BESSEE;2;22.0;COMBO;payant;24/24 7/7 jours;44.790737,6.556539;L'Argentière-la-Bessée;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;;B2742
E Born;Office de Tourisme 05560 VARS;2;22.0;COMBO;payant;24/24 7/7 jours;44.594376,6.689987;Vars;HAUTE-SAONE;BOURGOGNE-FRANCHE-COMTE;;B2743
E Born;Office de Tourisme 05600 RISOUL;2;22.0;COMBO;payant;24/24 7/7 jours;44.622584,6.632719;Risoul;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;;B2744
E Born;Place de la Mairie 05230 LA BATIE NEUVE;2;22.0;COMBO;payant;24/24 7/7 jours;44.565323,6.197639;La Bâtie-Neuve;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;;B2745
E Born;Rue de la Fontloube 05600 GUILLESTRE;2;22.0;COMBO;payant;24/24 7/7 jours;44.657303,6.65137;Guillestre;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;;B2746
E Born;Rond-Point des Orres 05200 BARATIER;2;50.0;COMBO;payant;24/24 7/7 jours;44.547372,6.484767;Baratier;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;;B2747
E Born;Espace de la Roche 05200 EMBRUN;2;22.0;COMBO;payant;24/24 7/7 jours;44.562874,6.498638;Embrun;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;;B2748
E Born;Parking Horizon 05200 LES ORRES;2;22.0;COMBO;payant;24/24 7/7 jours;44.4952,6.5574;Les Orres;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;;B2749
E Born;Le Coolidge 05330 ST CHAFFREY;2;22.0;COMBO;payant;24/24 7/7 jours;44.933417,6.586431;Saint-Chaffrey;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;;B2750
E Born;Pra Vesqua 05200 CREVOUX;2;22.0;COMBO;payant;24/24 7/7 jours;44.5461648,6.60619239;Crévoux;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR;;B2751
Te61;Place Charles de Gaulle, Gacé 61230;2;18.0;COMBO;Gratuit;24/24 7/7 jours;48.794994,0.295635;Gacé;ORNE;NORMANDIE;;B2752
Te61;Place du Musée, Dompierre 61700;2;18.0;COMBO;Gratuit;24/24 7/7 jours;48.63266,-0.551553;Dompierre;OISE;HAUTS-DE-FRANCE;;B2753
Te61;Place Charles de Gaulle, Carrouges 61320;2;18.0;COMBO;Gratuit;24/24 7/7 jours;48.568124,-0.144816;Carrouges;ORNE;NORMANDIE;;B2754
Révéo;Parking salle des fêtes 65310 HORGUES;2;18.0;COMBO;payant;24/24 7/7 jours;43.18654,0.08121;Horgues;HAUTES-PYRENEES;OCCITANIE;;B2755
Révéo;Parking Carrefour Market 65170 BOURISP;2;18.0;COMBO;payant;24/24 7/7 jours;42.82758,0.33408;Bourisp;HAUTES-PYRENEES;OCCITANIE;;B2756
Révéo;Pyrennes aeropole 65290 JUILLAN;2;18.0;COMBO;payant;24/24 7/7 jours;43.187355,0.007727;Juillan;HAUTES-PYRENEES;OCCITANIE;;B2757
Révéo;place du Foirail 65000 TARBES;4;18.0;COMBO;payant;24/24 7/7 jours;43.22965,0.08329;Tarbes;HAUTES-PYRENEES;OCCITANIE;;B2758
E Born;Place du Champs de Mars 07000 PRIVAS;2;22.0;COMBO;payant;24/24 7/7 jours;44.736443,4.598804;Privas;ARDECHE;AUVERGNE-RHONE-ALPES;;B2759
E Born;Place du Champ des Pauvres 07170 ST GERMAIN;2;22.0;COMBO;payant;24/24 7/7 jours;44.555261,4.451231;Saint-Germain;ARDECHE;AUVERGNE-RHONE-ALPES;;B2760
